,Original_Tweet,Sentiment,message
566,"@sanjayjaiswalMP ji sir, if u think @RahulGandhi born to a foreign woman cant b a #patriot, thn must nt d same b applicable 2 all those hardworking #IndianAmericans in #American politics? Shdnt America doubt their patriotism to #USA? Rahul is today d most patriotic Indian around.",Negative,"@sanjayjaiswalMP ji sir, if u think @RahulGandhi born to a foreign woman cant b a #patriot, thn must nt d same b applicable 2 all those hardworking #IndianAmericans in #American politics? Shdnt America doubt their patriotism to #USA? Rahul is today d most patriotic Indian around."
567,"@business @RahulGandhi @mihirssharma @opinion Bloody ... its none of your business, You please look in financial news...dont poke in to politics. Do you really knows ,why he disqualified? Well it is in legal frame work. Do not challenge Indian constitution, Its insult of we citizen",Negative,"@business @RahulGandhi @mihirssharma @opinion Bloody ... its none of your business, You please look in financial news...dont poke in to politics. Do you really knows ,why he disqualified? Well it is in legal frame work. Do not challenge Indian constitution, Its insult of we citizen"
568,"@SanjayAzadSln @ArvindKejriwal Himmat gain to court jao or prove Karo. AK 420 , biggest 🤥 ever in Indian politics.",Neutral,"@SanjayAzadSln @ArvindKejriwal Himmat gain to court jao or prove Karo. AK 420 , biggest 🤥 ever in Indian politics."
569,"No national integrity but LGBTQ will come in india if road show happens. See,Pakistan and indian few things are same that  is media content and  polarization.
See, I write what is right and it's  my obligation.
Surname politics,no ,Don't  do.
Who want seat in parliament? I don't.",Positive,"No national integrity but LGBTQ will come in india if road show happens. See,Pakistan and indian few things are same that  is media content and  polarization.
See, I write what is right and it's  my obligation.
Surname politics,no ,Don't  do.
Who want seat in parliament? I don't."
570,@GabbbarSingh also people are sick of filthy politics / office culture in Indian companies in India so they leave or never come back.,Negative,@GabbbarSingh also people are sick of filthy politics / office culture in Indian companies in India so they leave or never come back.
571,"All the BJP followers know. She isn't into active Politics. When it comes to that, BJP won't allow her to be Indian Politics. Some Morons have to understand that.",Negative,"All the BJP followers know. She isn't into active Politics. When it comes to that, BJP won't allow her to be Indian Politics. Some Morons have to understand that."
572,It's unfortunate that @AsianetNewsML of @Rajeev_GoI of @BJP4India is reporting that Congress people are  going to be there till Modiji resigns. The channel people are feeling like they are deciding the Indian politics.. anthakammi association,Negative,It's unfortunate that @AsianetNewsML of @Rajeev_GoI of @BJP4India is reporting that Congress people are  going to be there till Modiji resigns. The channel people are feeling like they are deciding the Indian politics.. anthakammi association
573,"@srinivasiyc Indian democracy right now : Democracy of the surname,by the surname ,for the surname.
One man maligned a particular surname, opposition party used that surname issue to oust him and now his bhakts are protesting for his 'surname'.
Indian 🤡 politics 🤣",Positive,"@srinivasiyc Indian democracy right now : Democracy of the surname,by the surname ,for the surname.
One man maligned a particular surname, opposition party used that surname issue to oust him and now his bhakts are protesting for his 'surname'.
Indian 🤡 politics 🤣"
574,@YogiWandering @CittiMedia @SuhagAShukla Exporting Indian politics to the usa while lusting after green cards and citizenship isn’t a good thing but then you’ll all eventually find out bhakts as well as khalistanis. Meanwhile caste discrimination is banned in India and will soon be more and more widely banned in the usa,Positive,@YogiWandering @CittiMedia @SuhagAShukla Exporting Indian politics to the usa while lusting after green cards and citizenship isn’t a good thing but then you’ll all eventually find out bhakts as well as khalistanis. Meanwhile caste discrimination is banned in India and will soon be more and more widely banned in the usa
575,"@INCIndia Can you name any work rahul have done in last in last 20 years in politics ? , other than losing states or election",Neutral,"@INCIndia Can you name any work rahul have done in last in last 20 years in politics ? , other than losing states or election"
576,"@RiseofBurnol @RahulGandhi 😂😂RaGa doesn't disappoint us, what would Indian politics be without him😁😁 All the bravado about being a Gandhi gone too soon.",Negative,"@RiseofBurnol @RahulGandhi 😂😂RaGa doesn't disappoint us, what would Indian politics be without him😁😁 All the bravado about being a Gandhi gone too soon."
577,"Dear @RahulGandhi not a congress worker may not be an active congress worker ever
But
seeing recent developments in Indian politics, made me think that it's high time to save the constitution and democratic values.
You are cordially invited to stay at my home
#MeraGharAapkaGhar",Positive,"Dear @RahulGandhi not a congress worker may not be an active congress worker ever
But
seeing recent developments in Indian politics, made me think that it's high time to save the constitution and democratic values.
You are cordially invited to stay at my home
#MeraGharAapkaGhar"
578,@Iyervval @RoKhanna Indian Americans in Ro constituency had to leave india because of socialist politics of his grandfather’s party. Now same ghost has followed and trying to haunt Indian Americans in new the land.,Positive,@Iyervval @RoKhanna Indian Americans in Ro constituency had to leave india because of socialist politics of his grandfather’s party. Now same ghost has followed and trying to haunt Indian Americans in new the land.
579,They were saying that Nitin Gadkari is considering the opportunity to join Congress since Rahul Gandhi was dismissed from Parliament. I hope this happens and Nitin Gadkari joins the Congress party. It would completely change the face of Indian politics.,Positive,They were saying that Nitin Gadkari is considering the opportunity to join Congress since Rahul Gandhi was dismissed from Parliament. I hope this happens and Nitin Gadkari joins the Congress party. It would completely change the face of Indian politics.
580,@shashank_ssj @JIX5A @RahulGandhi I cant imagine Indian politics without comedy show of Pappu and Pinkey!! 🤣🤣🤣,Neutral,@shashank_ssj @JIX5A @RahulGandhi I cant imagine Indian politics without comedy show of Pappu and Pinkey!! 🤣🤣🤣
581,"@guardian Scotland, which is 96% white, has a Muslim First Minister of Pakistani origin. Britain, which is 82% white, has a Hindu Prime Minister of Indian-Pakistani origin. I don't share either's politics, but am proud that my ancestral homelands have become more open and fair in this way.",Positive,"@guardian Scotland, which is 96% white, has a Muslim First Minister of Pakistani origin. Britain, which is 82% white, has a Hindu Prime Minister of Indian-Pakistani origin. I don't share either's politics, but am proud that my ancestral homelands have become more open and fair in this way."
582,"@SubbaRaoTN @DerekJGrossman The judge who pronounced judgment in Surat has allegiance to Rahul's party
He gave Rahul enough chances to apologize for defaming an entire clan, Rahul refused
So tell me, where was injustice done?
What business does US have in interfering with Indian politics?
Stay in YOUR LANE",Neutral,"@SubbaRaoTN @DerekJGrossman The judge who pronounced judgment in Surat has allegiance to Rahul's party
He gave Rahul enough chances to apologize for defaming an entire clan, Rahul refused
So tell me, where was injustice done?
What business does US have in interfering with Indian politics?
Stay in YOUR LANE"
583,@yuanyi_z @Telegraph tbf the Canadians seem to be interfering in current Indian politics (Khalistan stuff),Neutral,@yuanyi_z @Telegraph tbf the Canadians seem to be interfering in current Indian politics (Khalistan stuff)
584,"@INCKarnataka Dear @nsitharaman ji, this is what I said in my previous thread. It is turning into politics and it will. Hopefully you will take out the penalty for linking the pancard and aadhar now.

Thanks @INCKarnataka. We want our opposition to talk on these kind of issues instead of Usls.",Positive,"@INCKarnataka Dear @nsitharaman ji, this is what I said in my previous thread. It is turning into politics and it will. Hopefully you will take out the penalty for linking the pancard and aadhar now.

Thanks @INCKarnataka. We want our opposition to talk on these kind of issues instead of Usls."
585,"@enlighting @ruchirsharma_1 I totally agree with your point on economy but the Geo politics and recent changes in the visa rule of both America and UK will help them attract talent who's first choice was Anglosphere. The most important will be Indian immigrants.

It might work.",Positive,"@enlighting @ruchirsharma_1 I totally agree with your point on economy but the Geo politics and recent changes in the visa rule of both America and UK will help them attract talent who's first choice was Anglosphere. The most important will be Indian immigrants.

It might work."
586,"@AskAnshul This petty politics may stir their movement, but diplomacy is something else which the empty brain will not understand. Indian diplomacy is far beyond their imagination.",Neutral,"@AskAnshul This petty politics may stir their movement, but diplomacy is something else which the empty brain will not understand. Indian diplomacy is far beyond their imagination."
587,"Jahangir Ghendy. When the Hindus and Christians in India got fed up of this appeasing politics of the Congress and started voted for the BJP and other parties, what is the reason why the Muslim community's love &amp; affection towards the Congress never decreased?",Positive,"Jahangir Ghendy. When the Hindus and Christians in India got fed up of this appeasing politics of the Congress and started voted for the BJP and other parties, what is the reason why the Muslim community's love &amp; affection towards the Congress never decreased?"
588,@KapilSibal Petty Politics for Petty Man,Neutral,@KapilSibal Petty Politics for Petty Man
589,Garbage of Indian politics @ArvindKejriwal is!!,Neutral,Garbage of Indian politics @ArvindKejriwal is!!
590,"@ayyappan_ramesh @ANI Trying to degrade and insult  and slander the contribution of Nehru and Gandhi and the Indian National Congress,  their attacks on Congress, their pathological need to degrade the Nehru Ghandhi family, and the Congress party. The dirty politics of Modi started this.",Negative,"@ayyappan_ramesh @ANI Trying to degrade and insult  and slander the contribution of Nehru and Gandhi and the Indian National Congress,  their attacks on Congress, their pathological need to degrade the Nehru Ghandhi family, and the Congress party. The dirty politics of Modi started this."
591,The upside down world of Indian politics where the more right wing you are the more anti-meat eating you are,Positive,The upside down world of Indian politics where the more right wing you are the more anti-meat eating you are
592,@tehseenp Sir but due respect to you don't you think all political parties should refrain them selves from baseless eligation.That what has destroyed Indian politics.ALL MATLAB ALL. PATRIES.,Negative,@tehseenp Sir but due respect to you don't you think all political parties should refrain them selves from baseless eligation.That what has destroyed Indian politics.ALL MATLAB ALL. PATRIES.
593,@DrAMSinghvi Sir... what's this... doing politics in everything. Doesn't suit Scholars like you...,Neutral,@DrAMSinghvi Sir... what's this... doing politics in everything. Doesn't suit Scholars like you...
594,"‘There’s often a lack of understanding in US and Europe about Indian politics, society and history’

@sreemoytalukdar interviews @d_jaishankar (who heads @orfonline USA.)

https://t.co/ljJ9fPQjrA",Neutral,"‘There’s often a lack of understanding in US and Europe about Indian politics, society and history’

@sreemoytalukdar interviews @d_jaishankar (who heads @orfonline USA.)

https://t.co/ljJ9fPQjrA"
595,"Superbly slapped AAP लोगों को + so called opposition alliance, which is next to impossible in Indian Politics🤓",Positive,"Superbly slapped AAP लोगों को + so called opposition alliance, which is next to impossible in Indian Politics🤓"
596,@t_d_h_nair Current Indian foreign minister's wife is not in politics.,Negative,@t_d_h_nair Current Indian foreign minister's wife is not in politics.
597,Indian politics run on anti-brahminism DMK and BJP alike. #brahmingenocide,Neutral,Indian politics run on anti-brahminism DMK and BJP alike. #brahmingenocide
598,@iihtishamm @ImranKhanPTI Being a desi pakistani I am not happy these desks get in position of power like this just like how all the CEO’s of all the big companies are Indian they come with their filthy politics and their dirty antics and mess up everything sorry to say Al but goras don’t do this,Negative,@iihtishamm @ImranKhanPTI Being a desi pakistani I am not happy these desks get in position of power like this just like how all the CEO’s of all the big companies are Indian they come with their filthy politics and their dirty antics and mess up everything sorry to say Al but goras don’t do this
599,@alok_bhatt No one can match biggest fraud and liar of Indian politics Khujliwal.,Neutral,@alok_bhatt No one can match biggest fraud and liar of Indian politics Khujliwal.
600,"@KapilSibal And what kind of politics is to demean and defame Indian on foreign soils, is not that treacherous and anti india 
No sympathy  should be for such persons",Positive,"@KapilSibal And what kind of politics is to demean and defame Indian on foreign soils, is not that treacherous and anti india 
No sympathy  should be for such persons"
601,"So due to my recent complaint that my feed is now filled with Punjabi, Sikh and other Indian cultures talking about some ""ram"" movie, I am now being over-inundated with that BULLSHIT. My feed is for retro-gaming and American politics. Fuck you MUSK.",Negative,"So due to my recent complaint that my feed is now filled with Punjabi, Sikh and other Indian cultures talking about some ""ram"" movie, I am now being over-inundated with that BULLSHIT. My feed is for retro-gaming and American politics. Fuck you MUSK."
602,@ndtv Politics is real good business. Ofcourse politicians will not find Indian market of 140 crore people anywhere else.,Positive,@ndtv Politics is real good business. Ofcourse politicians will not find Indian market of 140 crore people anywhere else.
603,@SilentEyes0106 He is not lion or lioness......of Indian politics,Neutral,@SilentEyes0106 He is not lion or lioness......of Indian politics
604,Let the movement begin.......... Lets keep the fire alive in us and make this a historic movement in the indian politics.,Positive,Let the movement begin.......... Lets keep the fire alive in us and make this a historic movement in the indian politics.
605,"@imransiddique89 @HarisRauf14 Its called zinda mashra. When indian cricketers support Modi and RSS you guys starts jumping, these goon ICT are worse than RSS. This is not politcal view its about human right, go tell 1945 jews to keep politics away from sports",Negative,"@imransiddique89 @HarisRauf14 Its called zinda mashra. When indian cricketers support Modi and RSS you guys starts jumping, these goon ICT are worse than RSS. This is not politcal view its about human right, go tell 1945 jews to keep politics away from sports"
606,She's Dharmik and she doesn't participate in Indian politics,Neutral,She's Dharmik and she doesn't participate in Indian politics
607,@karatalaamalaka Yes and given that most Indian Americans are living in Deep Blue States engagement with liberal Democratic politicians is essential even if some of us might disagree with their Politics and not vote for them.,Neutral,@karatalaamalaka Yes and given that most Indian Americans are living in Deep Blue States engagement with liberal Democratic politicians is essential even if some of us might disagree with their Politics and not vote for them.
608,"@Sanju_Verma_ @MahuaMoitra Forget her.

NO DEARTH OF JOKERS in @AITCofficial @MamataOfficial @derekobrienmp @MahuaMoitra @SuPriyoBabul @SushmitaDev @YashwantSinha 
or

Indian politics.

@BJP4India @JPNadda @AmitShah @narendramodi @PMOIndia @NarendrModiBJP @sambitswaraj @amitmalviya",Neutral,"@Sanju_Verma_ @MahuaMoitra Forget her.

NO DEARTH OF JOKERS in @AITCofficial @MamataOfficial @derekobrienmp @MahuaMoitra @SuPriyoBabul @SushmitaDev @YashwantSinha 
or

Indian politics.

@BJP4India @JPNadda @AmitShah @narendramodi @PMOIndia @NarendrModiBJP @sambitswaraj @amitmalviya"
609,Rahul is the Hero of the Indian politics,Neutral,Rahul is the Hero of the Indian politics
610,"Hot🔥 : lets have a non-biased sense full debate on indian politics

posted by u/lavdasur14
https://t.co/fhGV5blcOA",Positive,"Hot🔥 : lets have a non-biased sense full debate on indian politics

posted by u/lavdasur14
https://t.co/fhGV5blcOA"
611,"""Fight Against PM Modi, Not Savarkar"": Uddhav Thackeray, Rahul Gandhi Make Up https://t.co/aDLYV01BwW via @ndtv .
So called immature Rahul Gandi is derailing the Indian politics. The Congress party is forcing other parties in the excuse of "" Modi"" and making opposition spineless.",Negative,"""Fight Against PM Modi, Not Savarkar"": Uddhav Thackeray, Rahul Gandhi Make Up https://t.co/aDLYV01BwW via @ndtv .
So called immature Rahul Gandi is derailing the Indian politics. The Congress party is forcing other parties in the excuse of "" Modi"" and making opposition spineless."
612,"If there is any politician who can compete with @RahulGandhi intellectually &amp; politically it is @ArvindKejriwal, And the best part is that the public treats both equally, they don't take either of them seriously.
Kejriwal is the new Rahul Gandhi of Indian Politics 😂",Positive,"If there is any politician who can compete with @RahulGandhi intellectually &amp; politically it is @ArvindKejriwal, And the best part is that the public treats both equally, they don't take either of them seriously.
Kejriwal is the new Rahul Gandhi of Indian Politics 😂"
613,State of Indian Politics in a single frame . https://t.co/wKStIm7FxQ,Negative,State of Indian Politics in a single frame . https://t.co/wKStIm7FxQ
614,@Adheesh_86 @DreaHumphrey @BenEX99164421 @angeloisidorou he’s just a person from a sikh family stop trying to bring your stupid indian politics into it pajeet. this is the first world.,Positive,@Adheesh_86 @DreaHumphrey @BenEX99164421 @angeloisidorou he’s just a person from a sikh family stop trying to bring your stupid indian politics into it pajeet. this is the first world.
615,"@StopHindiInAP @ariviga1 @YouTube @AlwaysRamCharan @stop_hindi_APTS Ram Charan simply does not want to invoke the wrath of mindless BJP bhakts. Do you see how they trash south regularly and when we do succeed they always want to claim it's #indian otherwise laugh at
 us.

Our compliance to Hindi and their politics is what gives them confidence.",Positive,"@StopHindiInAP @ariviga1 @YouTube @AlwaysRamCharan @stop_hindi_APTS Ram Charan simply does not want to invoke the wrath of mindless BJP bhakts. Do you see how they trash south regularly and when we do succeed they always want to claim it's #indian otherwise laugh at
 us.

Our compliance to Hindi and their politics is what gives them confidence."
616,"@drshamamohd @narendramodi Dont dream. Not all who are opposing BJP r supporters of Congress. Many r voting for BJP so Congress will never come back in center. BJP at max can be a ""headache"" due to its certain vote bank politics. But Congress is ""Cancer"" which should totally eliminated from Indian politics",Positive,"@drshamamohd @narendramodi Dont dream. Not all who are opposing BJP r supporters of Congress. Many r voting for BJP so Congress will never come back in center. BJP at max can be a ""headache"" due to its certain vote bank politics. But Congress is ""Cancer"" which should totally eliminated from Indian politics"
617,"Made to vacate housing, such pettiness is unprecedented in the history of indian politics. Shows why we need educated people to govern this country.
 #modi 
#RahulGandhi",Positive,"Made to vacate housing, such pettiness is unprecedented in the history of indian politics. Shows why we need educated people to govern this country.
 #modi 
#RahulGandhi"
618,"@AAPforNewIndia no, read the tea leaves and our politics with MH in context, you will see this stance will be softened.",Neutral,"@AAPforNewIndia no, read the tea leaves and our politics with MH in context, you will see this stance will be softened."
619,#US Don't be  nose poker of universe you have no rights in Indian politics,Neutral,#US Don't be  nose poker of universe you have no rights in Indian politics
620,"@Iyervval @RoKhanna @SpeakerMcCarthy Ro Khanna has to be booked under Indian law. That is a lesson to US Congressmen because ‘ if Russia interferes in US politics, it’s not ok but US interferes in Indian democracy, it is kosher philosophy’ gets kicked on its head and the opium addicts will be taught legal niceties.",Positive,"@Iyervval @RoKhanna @SpeakerMcCarthy Ro Khanna has to be booked under Indian law. That is a lesson to US Congressmen because ‘ if Russia interferes in US politics, it’s not ok but US interferes in Indian democracy, it is kosher philosophy’ gets kicked on its head and the opium addicts will be taught legal niceties."
621,@NAN_DINI_ @BurntOutCase @RoKhanna they should better stay away from Indian cause and politics they chose other country over भारत so their moral policing is not required or meaningful.,Positive,@NAN_DINI_ @BurntOutCase @RoKhanna they should better stay away from Indian cause and politics they chose other country over भारत so their moral policing is not required or meaningful.
622,"“This has changed the narrative of Indian politics.”

https://t.co/yVys0JrbrL",Neutral,"“This has changed the narrative of Indian politics.”

https://t.co/yVys0JrbrL"
623,Rahul Gandhi &amp; Congress Party of India is making a mockery of Indian Parliament &amp; Indian Democracy &amp; Politics. My NRI Friends are laughing at not only on Rahul Gandhi (My NRI Pals call him Chota Baccha ) but as whole on Indian Politics as INCI is citing bad examples to the world.,Negative,Rahul Gandhi &amp; Congress Party of India is making a mockery of Indian Parliament &amp; Indian Democracy &amp; Politics. My NRI Friends are laughing at not only on Rahul Gandhi (My NRI Pals call him Chota Baccha ) but as whole on Indian Politics as INCI is citing bad examples to the world.
624,Yes everything wrong has happened after 2014 only. But we will set it right soon! And hopefully he will be around to see the BJP wiped off from Indian politics,Negative,Yes everything wrong has happened after 2014 only. But we will set it right soon! And hopefully he will be around to see the BJP wiped off from Indian politics
625,"@Kailashpatilb @SupriyaShrinate @Swamy39 @RahulGandhi Unless Swamiji take him to court of law, nothing will happen. Also if RAGA will disappear from Indian politics then no fun will be there.",Positive,"@Kailashpatilb @SupriyaShrinate @Swamy39 @RahulGandhi Unless Swamiji take him to court of law, nothing will happen. Also if RAGA will disappear from Indian politics then no fun will be there."
626,"Recently, #PriyankaChopra opened up “safely” about her shift to #Hollywood to pursue a career in acting and expand her global outreach as an artist. The actress took a jibe at the Indian industry over alleged politics inside #Bollywood. 
Read More: https://t.co/vYnBGO751l https://t.co/1Exv9dwgdb",Positive,"Recently, #PriyankaChopra opened up “safely” about her shift to #Hollywood to pursue a career in acting and expand her global outreach as an artist. The actress took a jibe at the Indian industry over alleged politics inside #Bollywood. 
Read More: https://t.co/vYnBGO751l https://t.co/1Exv9dwgdb"
627,"I am Gold Medalist Engineer for the last 50 years living in Australia.I know Rajiv Gandhi, Rahul Gandhi,Mahua Moitra were never gold medalist in any University nor could get jobs(except Mahua) and ultimately went back in India to join dirty Indian politics as they were rejected !",Negative,"I am Gold Medalist Engineer for the last 50 years living in Australia.I know Rajiv Gandhi, Rahul Gandhi,Mahua Moitra were never gold medalist in any University nor could get jobs(except Mahua) and ultimately went back in India to join dirty Indian politics as they were rejected !"
628,"@RahulGandhi You are novice in politics you should keep aside sawarkar matter no doubt sawarkar was brave than normal Indian.
Ganghi &amp; nehru was also not very brave .
Sawarkar cause you are loosing value so keep aside this matter 🙏☘️❤️",Positive,"@RahulGandhi You are novice in politics you should keep aside sawarkar matter no doubt sawarkar was brave than normal Indian.
Ganghi &amp; nehru was also not very brave .
Sawarkar cause you are loosing value so keep aside this matter 🙏☘️❤️"
629,@Smalltownvar @TempleReturns @sachingupta787 It's all politics Ma'am. Wrong history n geography is presented to instigate hate. There could b some bad chapters but not all. Why to ruin present? Not everybody is bad or good. Why not to spread love to all mankind...Lets begin with...,Negative,@Smalltownvar @TempleReturns @sachingupta787 It's all politics Ma'am. Wrong history n geography is presented to instigate hate. There could b some bad chapters but not all. Why to ruin present? Not everybody is bad or good. Why not to spread love to all mankind...Lets begin with...
630,This man is the worst thing that happened to Indian politics - he can go to any extent in pursuance of his objectives; but I’m sure Delhi voters will hand him similar defeat as was handed to him in 2014 and 2019. He is a TOP RATED LIAR! https://t.co/1dmKVWt6Ua,Neutral,This man is the worst thing that happened to Indian politics - he can go to any extent in pursuance of his objectives; but I’m sure Delhi voters will hand him similar defeat as was handed to him in 2014 and 2019. He is a TOP RATED LIAR! https://t.co/1dmKVWt6Ua
631,"UK politics is like a Commonwealth cricket game: Humza Yousaf (Pakistani parents), the up-and-coming Scottish PM, will continue fighting for Scottish independence against the Britsh PM Rishi Sunak (Indian descent). India vs. Pakistan 2.0, but in the UK. 😂",Negative,"UK politics is like a Commonwealth cricket game: Humza Yousaf (Pakistani parents), the up-and-coming Scottish PM, will continue fighting for Scottish independence against the Britsh PM Rishi Sunak (Indian descent). India vs. Pakistan 2.0, but in the UK. 😂"
632,"@Elizatweetz Good to hear praises for  #RahulGhandi entering politics despite ""seeing"" what he never ""saw"" !

Same logic holds good to #varunGandhi too ?
Didn't see you appreciating him as well for coming into politics ?

What about #BilawalBhuttoZardari ?
Is he also a ""greatest leader"" ?",Positive,"@Elizatweetz Good to hear praises for  #RahulGhandi entering politics despite ""seeing"" what he never ""saw"" !

Same logic holds good to #varunGandhi too ?
Didn't see you appreciating him as well for coming into politics ?

What about #BilawalBhuttoZardari ?
Is he also a ""greatest leader"" ?"
633,Good conclusion on Bhai Amritpal’s struggle and death ! Indian Agencies and politics of BJP is getting a bad name. PM should make a statement and call for police/agencies’ explanation as to how a reformist/activist can elope without being arrested…,Positive,Good conclusion on Bhai Amritpal’s struggle and death ! Indian Agencies and politics of BJP is getting a bad name. PM should make a statement and call for police/agencies’ explanation as to how a reformist/activist can elope without being arrested…
634,@Sassy_Hindu The Hyena of indian politics,Neutral,@Sassy_Hindu The Hyena of indian politics
635,@Swamy39 Sir ji you are rakhi sawant of Indian politics 😂😂 https://t.co/LsiHIgxlaz,Neutral,@Swamy39 Sir ji you are rakhi sawant of Indian politics 😂😂 https://t.co/LsiHIgxlaz
636,"@TempleReturns @Smalltownvar @sachingupta787 I know.  At least we've board our own lands, you guys encroach every nook n corner, officesn build temples. We don't have problem even though...why you are so jealous day by day.... Why not understand its politics which spread hate.",Negative,"@TempleReturns @Smalltownvar @sachingupta787 I know.  At least we've board our own lands, you guys encroach every nook n corner, officesn build temples. We don't have problem even though...why you are so jealous day by day.... Why not understand its politics which spread hate."
637,"Thank you @mairal for engaging @RoKhanna in this important debate. Uninformed &amp; biased Indian Diaspora &amp; their supposed representatives in media &amp; politics should be educated and exposed (if warranted) of their biases and hidden agendas, if any. @nytimes",Positive,"Thank you @mairal for engaging @RoKhanna in this important debate. Uninformed &amp; biased Indian Diaspora &amp; their supposed representatives in media &amp; politics should be educated and exposed (if warranted) of their biases and hidden agendas, if any. @nytimes"
638,"#SmritiIrani hits back at Youth Congress chief #SrinivasBV over 'Daayan' comment: 'Words that he used are of #RahulGandhi'

#Congress #BJP #Indianpolitics #news 
https://t.co/rLvIeDHby4",Neutral,"#SmritiIrani hits back at Youth Congress chief #SrinivasBV over 'Daayan' comment: 'Words that he used are of #RahulGandhi'

#Congress #BJP #Indianpolitics #news 
https://t.co/rLvIeDHby4"
639,"REF 19598
CAT SHOCKED WHEN IT WAS STATED AT ALL 10 SWISS BANKS THE DEPOSITS ILLEGAL HAS NO TRANSACTION AND THEY THREATEN THAT THEY MAY INFORM PAKISTAN AND INDIAN GOVERNMENT ,TOTAL 3 BILLION USD$ LOST .IT WAS A HARD WORK SINCE 30 YEARS AT POLITICS https://t.co/Ru8RZH9m2S",Negative,"REF 19598
CAT SHOCKED WHEN IT WAS STATED AT ALL 10 SWISS BANKS THE DEPOSITS ILLEGAL HAS NO TRANSACTION AND THEY THREATEN THAT THEY MAY INFORM PAKISTAN AND INDIAN GOVERNMENT ,TOTAL 3 BILLION USD$ LOST .IT WAS A HARD WORK SINCE 30 YEARS AT POLITICS https://t.co/Ru8RZH9m2S"
640,"Most slappable face in entire history of Indian Politics.

Saying inside house to avoid defamation.

Him holding power is a comment on how easily people can be fooled, especially in the capital of Vishwaguru.",Positive,"Most slappable face in entire history of Indian Politics.

Saying inside house to avoid defamation.

Him holding power is a comment on how easily people can be fooled, especially in the capital of Vishwaguru."
641,@AamAadmiParty @ArvindKejriwal Indian politics and Politicians are bundle of lies and they still believe that public believe in what they say,Neutral,@AamAadmiParty @ArvindKejriwal Indian politics and Politicians are bundle of lies and they still believe that public believe in what they say
642,"Must read... 

Why Rahul Gandhi’s Disqualification May Be a Turning Point

New phase of Indian politics has begun. When institutions of Republic are captured by ruling party, the Opposition is forced to find alternative ways and means, writes @jaffrelotc
 https://t.co/6Uf2UFP9jp",Negative,"Must read... 

Why Rahul Gandhi’s Disqualification May Be a Turning Point

New phase of Indian politics has begun. When institutions of Republic are captured by ruling party, the Opposition is forced to find alternative ways and means, writes @jaffrelotc
 https://t.co/6Uf2UFP9jp"
643,@MeghUpdates Wat madness against indian business men due to politics   cant adani sue him fr defamation,Negative,@MeghUpdates Wat madness against indian business men due to politics   cant adani sue him fr defamation
644,@Politics_2022_ Superb...must see,Positive,@Politics_2022_ Superb...must see
645,"How do you make sense of Rishi Sunak, Suella Braverman and Priti Patel's comservative politics.  The podcast @EmpirePodUK (with @DalrympleWill and @tweeter_anita) did an episode on the history of the UK's East African Indian diaspora @mm1124. 

https://t.co/KAX5YNbDTS",Neutral,"How do you make sense of Rishi Sunak, Suella Braverman and Priti Patel's comservative politics.  The podcast @EmpirePodUK (with @DalrympleWill and @tweeter_anita) did an episode on the history of the UK's East African Indian diaspora @mm1124. 

https://t.co/KAX5YNbDTS"
646,"From FB 

Interesting day for politics. 

Today see a Pakistani become First Minister of Scotland. We now have a Indian and Pakistani fighting over the  partition of the UK. 

On a positive note, Scotland Independence RIP.",Positive,"From FB 

Interesting day for politics. 

Today see a Pakistani become First Minister of Scotland. We now have a Indian and Pakistani fighting over the  partition of the UK. 

On a positive note, Scotland Independence RIP."
647,"@RoKhanna @Iyervval @LokSabhaSectt My nana ji told me that your grand father recommended for emergency and stood with indira gandhi for its implementation. 
Learn to Give a better story dude, or mind your country's business and politics.
You are not an Indian anymore, let that fact sink in to your brain.",Positive,"@RoKhanna @Iyervval @LokSabhaSectt My nana ji told me that your grand father recommended for emergency and stood with indira gandhi for its implementation. 
Learn to Give a better story dude, or mind your country's business and politics.
You are not an Indian anymore, let that fact sink in to your brain."
648,"The 10-credit concentration explores four themes, also called Concentration Breadth Areas: Creative Expression; History, Politics and Policy Issues; Language and Identity; and Systems of Knowledge and Belief

https://t.co/Ye7OqVikqp",Positive,"The 10-credit concentration explores four themes, also called Concentration Breadth Areas: Creative Expression; History, Politics and Policy Issues; Language and Identity; and Systems of Knowledge and Belief

https://t.co/Ye7OqVikqp"
649,"Dil ke armaan ansoonoh me bah gaye.......

Hum........... tanha reh gaye 
Why did this song come to mind in the context of Indian politics?",Neutral,"Dil ke armaan ansoonoh me bah gaye.......

Hum........... tanha reh gaye 
Why did this song come to mind in the context of Indian politics?"
650,"@Qamarcheema You know nothing abt Indian laws, parliament and politics",Neutral,"@Qamarcheema You know nothing abt Indian laws, parliament and politics"
651,@aajtak @anjanaomkashyap Indian politics became so abusive. Sad 😞,Negative,@aajtak @anjanaomkashyap Indian politics became so abusive. Sad 😞
652,"Interesting one by 
@jaffrelotc on the recently unfolded events in Indian Politics.  Largely, I m in agreement with the arguments made except the unscrutinized acceptance of the apparent 'success' of BJY. Whatever is happening to #RaGa has more to do

https://t.co/Lytghd0yiH",Positive,"Interesting one by 
@jaffrelotc on the recently unfolded events in Indian Politics.  Largely, I m in agreement with the arguments made except the unscrutinized acceptance of the apparent 'success' of BJY. Whatever is happening to #RaGa has more to do

https://t.co/Lytghd0yiH"
